Reports - Non Property Floodings - 01/01/2023 - 31/12/2023 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
37476,,4876128,2089151,TRING ROAD AYLESBURY HP225PN,2023-03-06 00:00:00,2023-03-03 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37472,,4471804,2045271,X CHAWLEY LANE OXFORD OX2 9XX,2023-03-04 00:00:00,2023-03-04 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
8098,East Hants,4713370,1398415,XX GREENFIELDS AV ALTON GU34 2XX,2023-03-04 00:00:00,2023-03-03 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TRANSFERRED ASSET (2011)
37471,,4896876,1784845,XX AYSGARTH PARK MAIDENHEAD SL6 2XX,2023-03-04 00:00:00,2023-03-03 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37473,,5295995,1689106,XXX MANOR WAY MITCHAM CR4 1XX,2023-03-05 00:00:00,2023-03-05 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37477,,5356317,1760195,FERN COURT DRAKEFELL ROAD LONDON SE145SN,2023-03-06 00:00:00,2023-03-03 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
8497,Westminster,5265697,1821986,XXX EDGWARE RD W2 W2 1XX,2023-03-07 00:00:00,2023-03-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
12072,Ealing,5145414,1801544,XX HALLIDAY SQ SOUTHALL UB2 4XX,2023-03-06 00:00:00,2023-03-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37475,,4936683,1672046,SARUM HOUSE HANCOCKS MOUNT ASCOT SL5 9PQ,2023-03-07 00:00:00,2023-03-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
37479,,5163662,1772177,X ROTHBURY GARDENS ISLEWORTH TW7 5XX,2023-03-06 00:00:00,2023-03-05 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37478,,5514049,1564200,X THE PATCH SEVENOAKS TN132XX,2023-03-06 00:00:00,2023-03-05 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37482,,439766,187869,14A MARKET PLACE WANTAGE OX128AB,2023-03-08 00:00:00,2023-03-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
5610,Stevenage,526978,224674,PLAYGROUND IN RECREATION GROUND WARWICK RD STEVENAGE SG2 0QT-MH9650,2023-03-07 00:00:00,2023-03-07 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,CE,0,50,TWUL (LOCAL)
37480,,5229633,1850823,X JEYMER AVENUE LONDON NW2 4XX,2023-03-07 00:00:00,2023-03-07 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,UNKNOWN
37481,,5055350,1944317,XXX HIGH STREET RICKMANSWORTH WD3 1XX,2023-03-08 00:00:00,2023-03-08 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
37484,,4835895,1447555,GARDEN END TWYFORD LANE FARNHAM GU104RT,2023-03-09 00:00:00,2023-03-07 00:00:00,Surface S,Blockage,Above ground,Highways,< 1 Month,,0,5,HIGHWAY AUTHORITY
37483,,4664195,2176613,KILN HOUSE DUCK LANE AYLESBURY HP189XZ,2023-03-08 00:00:00,2023-03-08 00:00:00,Foul F,Collapse,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37420,,4842652,1911086,XX BUCKMASTER ROAD HIGH WYCOMBE HP124XX,2023-03-09 00:00:00,2023-03-09 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
37485,,5358674,2143561,LEASIDE WALK EAST STREET WARE SG129BT,2023-03-10 00:00:00,2023-03-09 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,UNKNOWN
37486,,5284400,1732000,XXX BALHAM HIGH ROAD LONDON SW129XX,2023-03-10 00:00:00,2023-03-09 00:00:00,Private P,Blockage,Above ground,Highways,< 1 Month,,0,0,PRIVATE
4507,Woking,4981057,1592023,WOKING HOCKEY CLUB WISHBONE WAY WOKING GU21 3RT,2023-03-10 00:00:00,2023-03-04 00:00:00,Foul F,Equipment,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37334,,4889376,2016504,XX WINSLOW FIELD GREAT MISSENDEN HP169XX,2023-03-10 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
37487,,4937183,1924397,XX SANDELSWOOD END BEACONSFIELD HP9 2XX,2023-03-11 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
11694,Vale Of White Horse,4454745,1967332,XX NORTH ST MARCHAM OX13 6XX,2023-03-11 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
12026,Basingstoke & Deane,4438645,1606773,XXXXXXXXXXX CHURCH LA HIGHCLERE RG20 9XX,2023-03-13 00:00:00,2023-03-11 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
10342,Harlow,5444219,2094297,XXX NORTHBROOKS HARLOW CM19 4XX,2023-03-11 00:00:00,2023-03-11 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37489,,5262831,1941787,XX ST. MARGARETS AVENUE LONDON N20 9XX,2023-03-11 00:00:00,2023-03-04 00:00:00,Combined C,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37493,,5080380,1919460,XX THIRLMERE GARDENS NORTHWOOD HA6 2XX,2023-03-13 00:00:00,2023-03-11 00:00:00,Surface S,Blockage,Above ground,Highways,< 1 Month,,0,5,TWUL (LOCAL)
37488,,4519047,1889020,XX LOYD ROAD DIDCOT OX118XX,2023-03-11 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
30276,South Oxon,4519046,1889365,XX LOYD RD DIDCOT OX11 8XX,2023-03-11 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37490,,4241070,1835897,XX WHATLEYS ORCHARD SWINDON SN6 8XX,2023-03-12 00:00:00,2023-03-11 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
37491,,5108844,1898308,XXX TOLCARNE DRIVE PINNER HA5 2XX,2023-03-12 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37492,,5340660,2041552,X SPRINGWOOD WALTHAM CROSS EN7 6XX,2023-03-13 00:00:00,2023-03-12 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
1318,Broxbourne,5340914,2041307,ADAMSFIELD J/O SPRINGWOOD CHESHUNT EN7 6AZ,2023-03-13 00:00:00,2023-03-12 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37498,,524118,191345,LANGSTONE WAY LONDON NW7 1GU,2023-03-14 00:00:00,2023-02-27 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
34711,Barnet,524020,191246,,2023-03-13 00:00:00,2023-03-11 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,100,TWUL (LOCAL)
37496,,5093398,1872281,138 HIGH STREET RUISLIP HA4 8LL,2023-03-13 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37500,,4721076,2103322,FISHERS CORNER CHURCH LANE AYLESBURY HP180DF,2023-03-14 00:00:00,2023-03-13 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37497,,5045859,1904527,XXX XXXXXX COTTAGE PARK LANE UXBRIDGE UB9 6XX,2023-03-14 00:00:00,2023-03-10 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37494,,5134461,1733162,XX COBBETT ROAD TWICKENHAM TW2 6XX,2023-03-13 00:00:00,2023-03-12 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,PRIVATE
37499,,484965,187079,TRINITY COURT WETHERED RD MARLOW SL7 3TZ,2023-03-14 00:00:00,2023-03-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,50,TWUL (LOCAL)
37501,,5609615,1672065,XXXXXXX CHURCH ROAD LONGFIELD  DA3 8XX,2023-03-14 00:00:00,2023-03-14 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37502,,5609676,1671330,XXXXXXX CHURCH ROAD LONGFIELD DA3 8XX,2023-03-14 00:00:00,2023-03-14 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37504,,5206463,1696840,XX MATLOCK WAY NEW MALDEN KT3 3XX,2023-03-15 00:00:00,2023-03-12 00:00:00,Surface S,Blockage,Above ground,Highways,< 1 Month,,0,5,TWUL (LOCAL)
37503,,5062852,1811326,XXX RYELAND CLOSE WEST DRAYTON UB7 8XX,2023-03-15 00:00:00,2023-03-15 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37507,,532185,179128,XX SMEATON COURT ROCKINGHAM STREET LONDON SE1 6XX,2023-03-17 00:00:00,2023-03-16 00:00:00,Combined C,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
37505,,5537481,1885161,X ARDLEIGH GREEN ROAD HORNCHURCH RM112XX,2023-03-16 00:00:00,2023-03-16 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37506,,4529943,2185041,XXXXXXX COTTAGE CHURCH LANE BICESTER OX253XX,2023-03-17 00:00:00,2023-03-16 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37509,,4340825,1684439,X FIRGROVE COURT HUNGERFORD RG170XX,2023-03-18 00:00:00,2023-03-17 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,COUNCIL/HOUSING
37513,,4873448,1535787,LYNCHFORD ROAD FARNBOROUGH GU146EG,2023-03-20 00:00:00,2023-03-17 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,PRIVATE
37514,,4478396,1737869,TWILDU GRACES LANE NEWBURY RG208XG,2023-03-20 00:00:00,2023-03-17 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37510,,5512935,2023060,XX EPPING ROAD ONGAR CM5 9XX,2023-03-18 00:00:00,2023-03-18 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
37512,,4508121,1991228,XX RAINBOW WAY ABINGDON OX142XX,2023-03-19 00:00:00,2023-03-19 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37511,,4824117,2149811,XX VERWOOD ROAD AYLESBURY HP202XX,2023-03-19 00:00:00,2023-03-19 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37515,,4699099,1529353,X MANOR FARM COTTAGES BLACKSTOCK LANE HOOK RG279XX,2023-03-20 00:00:00,2023-03-19 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37519,,4468814,2138179,XX SPRINGHILL ROAD KIDLINGTON OX5 1XX,2023-03-21 00:00:00,2023-03-20 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37516,,4825256,2148026,X WESTWOOD WALK AYLESBURY HP202XX,2023-03-20 00:00:00,2023-03-20 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37517,,4825734,2148053,X WESTWOOD WALK AYLESBURY HP202XX,2023-03-20 00:00:00,2023-03-20 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37518,,522635,184082,DONNINGTON COURT DONNINGTON ROAD LONDON NW103TH,2023-03-21 00:00:00,2023-03-20 00:00:00,Private P,Blockage,Above ground,Highways,< 1 Month,,0,0,PRIVATE
35046,St Albans,513895,215971,BAULK CL HARPENDEN HE AL5 4FJ,2023-03-22 00:00:00,2023-03-21 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
10019,Barnet,519458,191993,XXX-XXX STATION RD EDGWARE HA8 7XX,2023-03-22 00:00:00,2023-03-21 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (EX S24)
37522,,5357315,1893725,FOREST ROAD LONDON E17 6JJ,2023-03-22 00:00:00,2023-03-09 00:00:00,Private P,Blockage,Above ground,Private Land,< 1 Month,,0,0,PRIVATE
36434,,5347745,1997511,XXX BULLSMOOR LANE ENFIELD EN1 4SF,2023-03-21 00:00:00,2023-03-21 00:00:00,Foul F,Collapse,Above ground,Highways,< 1 Month,,0,200,TWUL (LOCAL)
37523,,5247077,1732658,XXX WIMBLEDON PARK ROAD LONDON SW196XX,2023-03-22 00:00:00,2023-03-21 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,PRIVATE
37521,,4787837,1777868,TWYFORD ROAD READING RG108DL,2023-03-22 00:00:00,2023-03-21 00:00:00,Foul F,Equipment,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37520,,5558580,1915018,XX HAROLD COURT ROAD ROMFORD RM3 0XX,2023-03-21 00:00:00,2023-03-20 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37524,,546457,210482,XXXA LADYSHOT HARLOW CM203XX,2023-03-23 00:00:00,2023-03-23 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
5610,Stevenage,526978,224674,PLAYGROUND IN RECREATION GROUND WARWICK RD STEVENAGE SG2 0QT-MH9650,2023-03-24 00:00:00,2023-03-24 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,CE,0,50,TWUL (LOCAL)
37528,,5205820,1607669,X WEST STREET EPSOM KT187XX,2023-03-27 00:00:00,2023-03-23 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,PRIVATE
37536,,4456519,2503383,CALIDRIS FENNY COMPTON ROAD BANBURY OX171HA,2023-03-30 00:00:00,2023-03-24 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37537,,5331635,1688516,XXA ROSS ROAD LONDON SE256XX,2023-03-30 00:00:00,2023-03-26 00:00:00,Surface S,Blockage,Above ground,Highways,< 1 Month,,0,5,TWUL (LOCAL)
37538,,4874221,1754795,XXXXX LODGE ASCOT ROAD MAIDENHEAD SL6 3XX,2023-03-30 00:00:00,2023-03-27 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
1252,St Albans,5163557,2095956,XXX ST ALBANS RD ST ALBANS AL4 9XX,2023-03-28 00:00:00,2023-03-28 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,CE,10,10,TWUL (EX S24)
37535,,551146,224285,XX WILKINS CRESCENT STANSTED CM248XX,2023-03-30 00:00:00,2023-03-28 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37534,,5456712,1826272,XX CREEK ROAD BARKING IG110XX,2023-03-30 00:00:00,2023-03-29 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
16124,Wycombe,4824693,2070691,BROOKSIDE FARM RISBOROUGH RD GREAT KIMBLE HP17 0XX,2023-03-30 00:00:00,2023-03-28 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,100,10,TWUL (LOCAL)
35170,Broxbourne,535255,200675,PARK PLAZA GREAT EASTERN ROAD WALTHAM PARK EN8 8DY,2023-03-31 00:00:00,2023-03-30 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
31926,Cotswold,4176721,2255929,XXXX COTTAGE LOWER SWELL CHELTENHAM GL54 1XX,2023-03-31 00:00:00,2023-03-30 00:00:00,Foul F,Equipment,Above ground,Public Open Space,< 1 Month,AE,100,200,TWUL (LOCAL)
37540,,5533141,1868586,XX ABBS CROSS LANE HORNCHURCH RM124XX,2023-03-31 00:00:00,2023-03-31 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,0,TWUL (LOCAL)
33662,Kennet,4190246,1781168,XX SAMBRE RD CHISELDON SN4 0XX,2023-03-31 00:00:00,2023-03-30 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,100,TWUL (LOCAL)
37539,,5239517,1954889,X GOLDA CLOSE BARNET EN5 2XX,2023-03-31 00:00:00,2023-03-31 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
21155,South Bucks,4959355,1852189,XX INGLEGLEN FARNHAM COMM SL2 3XX,2023-04-01 00:00:00,2023-03-31 00:00:00,Combined C,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,AE,1000,0,TWUL (LOCAL)
37541,,4397828,1884689,XX WITAN WAY WANTAGE OX129XX,2023-04-01 00:00:00,2023-03-31 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
35303,Windsor & Maidenhead,4888649,1768481,THE CABIN FOREST GREEN RD HOLYPORT SL6 2NW,2023-04-03 00:00:00,2023-04-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,AE,100,10,TWUL (LOCAL)
37546,,522531,224672,HERTFORD HOUSE RUTHERFORD CLOSE STEVENAGE SG1 2EF,2023-04-03 00:00:00,2023-04-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37542,,5586067,2011844,XXX NINE ASHES ROAD BRENTWOOD CM150XX,2023-04-01 00:00:00,2023-04-01 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
13566,Havering,5534270,1882890,XX LEWIS RD HORNCHURCH RM11 2XX,2023-04-01 00:00:00,2023-03-29 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,500,10,TWUL (LOCAL)
32490,South Oxon,4473656,1920518,XX MILTON LA STEVENTON OX13 6XX,2023-04-01 00:00:00,2023-04-01 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,AE,200,10,TWUL (LOCAL)
37545,,5357612,1893783,X FOREST ROAD LONDON E17 6XX,2023-04-03 00:00:00,2023-04-01 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,HIGHWAY AUTHORITY
10782,Vale Of White Horse,4418363,1930237,MIDGY HOUSE UNKNOWN EAST HANNEY OX12 0HG,2023-04-03 00:00:00,2023-04-02 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,100,TWUL (LOCAL)
16154,West Oxfordshire,4302804,2068361,XXX STATION RD BRIZE NORTON OX18 3XX,2023-04-02 00:00:00,2023-04-01 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,AE,1000,0,TWUL (LOCAL)
37547,,458826,186639,X LITTLE LANE WALLINGFORD OX109XX,2023-04-03 00:00:00,2023-04-02 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,100,TWUL (EX S24)
37544,,4153941,1876656,XXX INGLESHAM ROAD SWINDON SN2 5XX,2023-04-02 00:00:00,2023-04-01 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37543,,5392621,1693133,XX THE GLEN BROMLEY BR2 0XX,2023-04-02 00:00:00,2023-04-01 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
16154,West Oxfordshire,4302804,2068361,XXX STATION RD BRIZE NORTON OX18 3XX,2023-04-03 00:00:00,2023-04-02 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Private Land,< 1 Month,AE,1000,0,TWUL (LOCAL)
36088,,4384001,1642768,XXXXXXXXXXXX COTTAGE HEADS LANE HUNGERFORD RG17 9XX,2023-04-03 00:00:00,2023-04-01 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Public Open Space,< 1 Month,CE,20,10,TWUL (LOCAL)
37548,,5184376,1865145,X KEYSHAM COURT PRESTON ROAD WEMBLEY HA9 8XX,2023-04-03 00:00:00,2023-03-31 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37552,,5180510,1741620,XXX PETERSHAM ROAD RICHMOND TW106XX,2023-04-04 00:00:00,2023-04-04 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
26512,Reading,4630948,1760234,XXXXX COTTAGE GREEN LA PANGBOURNE RG8 8XX,2023-04-05 00:00:00,2023-04-03 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37551,,5355336,2005077,XXX PARK LANE WALTHAM CROSS EN8 8XX,2023-04-04 00:00:00,2023-04-04 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37549,,5277893,1368483,XX RIDGESIDE CRAWLEY RH101XX,2023-04-04 00:00:00,2023-04-02 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
37550,,5277882,1368534,XX RIDGESIDE CRAWLEY RH101XX,2023-04-04 00:00:00,2023-04-03 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
17138,West Oxfordshire,4361536,2161250,THE PLOUGH INN HIGH ST FINSTOCK OX7 3BY,2023-04-06 00:00:00,2023-04-03 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37553,,4731704,1761443,XX GALSWORTHY DRIVE READING RG4 6XX,2023-04-05 00:00:00,2023-04-04 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (EX S24)
37555,,5021644,1686907,XXXXXX XXXX COTTAGE VILLAGE ROAD EGHAM TW208XX,2023-04-06 00:00:00,2023-04-05 00:00:00,Foul F,Hydraulic (Overloaded),Above ground,Highways,< 1 Month,,0,0,TWUL (LOCAL)
37554,,4315405,2098594,BUSHWELL BUSHEY GROUND WITNEY OX290SW,2023-04-06 00:00:00,2023-04-04 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37557,,505392,224897,PUMPING STATION Orchard Close LUTON LU3 3EX,2023-04-06 00:00:00,2023-04-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37574,,4074203,2018156,THE VINEYARD CIRENCESTER GL7 5RU,2023-04-11 00:00:00,2023-04-01 00:00:00,Foul F,Collapse,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37556,,5483879,1726700,RIVERSIDE ROAD SIDCUP DA144PU,2023-04-06 00:00:00,2023-04-05 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37351,,5449141,2075786,XXX BERECROFT HARLOW CM187XX,2023-04-06 00:00:00,2023-04-06 00:00:00,Foul F,Blockage,Above ground,Public Open Space,< 1 Month,,0,100,TWUL (LOCAL)
3973,Welwyn Hatfield,5278832,2023580,ST THOMAS A BECT CHURCH VINEYARDS RD NORTHAW EN6 4NZ,2023-04-11 00:00:00,2023-04-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,50,TWUL (LOCAL)
37575,,547964,175466,TURNPIKE COURT CROOK LOG BEXLEY HEATH DA6 8EG,2023-04-11 00:00:00,2023-04-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (EX S24)
37573,,485279,147562,FARNHAM MILL NURSING HOME FARNHAM MILL LANE GU9 9FN,2023-04-11 00:00:00,2023-04-05 00:00:00,Foul F,Equipment,Above ground,Public Open Space,< 1 Month,,0,20,TWUL (LOCAL)
37576,,528323,193493,ATLANTIS COURT BRUNSWICK PARK ROAD LONDON N11 1EZ,2023-04-11 00:00:00,2023-04-04 00:00:00,Surface S,Blockage,Above ground,Highways,< 1 Month,,0,5,TWUL (LOCAL)
37572,,5410198,1682468,XXX MASONS HILL BROMLEY BR2 9XX,2023-04-11 00:00:00,2023-04-05 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (EX S24)
37558,,5386627,1720022,XXX WHITEFOOT LANE BROMLEY BR1 5XX,2023-04-06 00:00:00,2023-04-01 00:00:00,Foul F,Collapse,Above ground,Public Open Space,< 1 Month,,0,20,COUNCIL/HOUSING
37559,,4527867,2084585,XX OXFORD ROAD OXFORD OX3 0XX,2023-04-06 00:00:00,2023-04-04 00:00:00,Private P,Blockage,Above ground,Highways,< 1 Month,,0,0,HIGHWAY AUTHORITY
37560,,4527888,2085933,XX OXFORD ROAD OXFORD OX3 0XX,2023-04-06 00:00:00,2023-04-04 00:00:00,Private P,Blockage,Above ground,Highways,< 1 Month,,0,0,HIGHWAY AUTHORITY
8464,Uttlesford,5508564,2228335,XXX BIRCHANGER LA BIRCHANGER CM23 5XX,2023-04-07 00:00:00,2023-04-06 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,50,TWUL (LOCAL)
37561,,5508655,2228257,XXX BIRCHANGER LA BIRCHANGER CM23 5XX,2023-04-07 00:00:00,2023-04-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37564,,4477410,2059318,XX EYNSHAM ROAD OXFORD OX2 9XX,2023-04-08 00:00:00,2023-04-07 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
37563,,4857287,1936775,XXX MENDIP WAY HIGH WYCOMBE HP135XX,2023-04-08 00:00:00,2023-04-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,0,10,TWUL (LOCAL)
37577,,5289611,2034833,XXXXXXXXXX VINEYARDS ROAD POTTERS BAR EN6 4XX,2023-04-11 00:00:00,2023-04-06 00:00:00,Foul F,Blockage,Above ground,Private Land,< 1 Month,,0,10,TWUL (LOCAL)
12400,Uttlesford,5560804,2215085,XX PARSONAGE RD TAKELEY CM22 6XX,2023-04-08 00:00:00,2023-04-07 00:00:00,Foul F,Blockage,Above ground,Highways,< 1 Month,,10,50,TWUL (EX S24)
